RootFolder,File,RelativePath,DateTime,DayTime,deployement_number,photo_camera_id,cougar,raven,magpie,coyote,golden_eagle,bald_eagle,wolf,fox,other_species,other_count,comment
22-305_262,IMG_0001.MP4,262, 2022-12-14 11:03:44,TRUE,1,262,0,0,0,0,0,0,0,0,,0,set up
22-305_262,IMG_0002.MP4,262, 2022-12-14 17:40:50,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0003.MP4,262, 2022-12-14 17:42:14,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0004.MP4,262, 2022-12-14 17:43:44,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0005.MP4,262, 2022-12-14 17:45:26,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0006.MP4,262, 2022-12-14 17:46:48,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0007.MP4,262, 2022-12-14 17:48:10,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0008.MP4,262, 2022-12-14 17:49:32,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0009.MP4,262, 2022-12-14 17:51:00,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0010.MP4,262, 2022-12-14 17:52:22,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0011.MP4,262, 2022-12-14 17:53:44,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0012.MP4,262, 2022-12-14 17:55:06,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0013.MP4,262, 2022-12-14 17:56:30,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0014.MP4,262, 2022-12-14 17:58:12,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0015.MP4,262, 2022-12-14 17:59:38,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0016.MP4,262, 2022-12-14 18:01:24,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0017.MP4,262, 2022-12-14 18:02:58,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0018.MP4,262, 2022-12-14 18:04:26,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0019.MP4,262, 2022-12-14 18:05:48,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0020.MP4,262, 2022-12-14 18:07:22,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0021.MP4,262, 2022-12-14 18:08:46,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0022.MP4,262, 2022-12-14 18:10:14,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0023.MP4,262, 2022-12-14 18:11:44,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0024.MP4,262, 2022-12-14 18:13:08,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0025.MP4,262, 2022-12-14 18:14:48,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0026.MP4,262, 2022-12-14 18:16:20,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0027.MP4,262, 2022-12-14 18:17:46,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0028.MP4,262, 2022-12-14 18:19:18,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0029.MP4,262, 2022-12-14 18:20:46,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0030.MP4,262, 2022-12-14 18:22:34,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0031.MP4,262, 2022-12-14 18:23:58,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0032.MP4,262, 2022-12-14 18:25:28,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0033.MP4,262, 2022-12-14 18:27:06,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0034.MP4,262, 2022-12-14 18:28:32,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0035.MP4,262, 2022-12-14 18:29:54,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0036.MP4,262, 2022-12-14 18:31:26,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0037.MP4,262, 2022-12-14 18:32:50,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0038.MP4,262, 2022-12-14 18:34:18,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0039.MP4,262, 2022-12-14 18:35:42,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0040.MP4,262, 2022-12-14 18:37:08,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0041.MP4,262, 2022-12-14 18:38:34,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
22-305_262,IMG_0042.MP4,262, 2022-12-14 18:40:00,FALSE,1,262,1,0,0,0,0,0,0,0,,0,
